vendor,price_per_unit
Metro,1.946048330610458
Metro,0.9521170780067735
Metro,1.9678581902857737
Metro,1.7655178416168098
Metro,1.3717994162766973
Metro,1.4836722130085418
Metro,1.794834905332464
Metro,1.818592722939509
Metro,1.3571742185490279
Metro,1.6268822506173422
Metro,1.37738442396814
Metro,1.2926222232288616
Metro,1.7205295594038386
Metro,1.3262722820633486
Metro,1.3408831604684202
Metro,1.5940394072652189
Metro,1.7616030809497845
Metro,1.8076802563430132
Metro,1.1927793311224921
Metro,1.3476130018038073
Metro,1.365056652595312
Metro,1.3947308891021701
Metro,1.7742708035371868
Metro,1.5012178724168126
Metro,1.580127777180506
Metro,1.5304117672154933
Metro,1.5708393475411087
Metro,1.3058533703996094
Metro,1.4805233506510804
Metro,2.01207460494899
Metro,1.2694689592607864
Metro,1.6880204094064661
Metro,1.8492738888131772
Metro,1.507949205521741
Metro,1.4153968393136316
Metro,1.7183908756754604
Metro,1.7383771979766165
Metro,1.8345533718523928
Metro,1.6143228720347786
Metro,1.4674010208800066
Metro,1.4821482425107055
Metro,1.3296170430791285
Metro,1.4893179278254398
Metro,1.7184372184156662
Metro,1.4398980894968452
Metro,1.200354971477039
Metro,1.4328767499184154
Metro,1.4910841900118812
Metro,1.758098061993505
Metro,1.5755540263467753
Metro,1.1575154822880993
Metro,1.2174338086380796
Metro,1.5732946823007388
Metro,1.3651233031277359
Metro,1.5925042909710247
Metro,1.3507192703112851
Metro,1.2086924176603233
Metro,1.9269961441404257
Metro,1.1889646353595587
Metro,1.8835662794697134
Metro,1.458414668807914
Metro,1.7375307739450223
Metro,1.3865123471979417
Metro,1.2875927556212257
Metro,1.395145592810405
Metro,1.5532710880445486
Metro,1.411037132991879
Metro,1.4614111319528817
Metro,1.7695082165214147
Metro,1.253051164385855
Metro,1.5508938467474886
Metro,1.1838664016905764
Metro,1.093653011103367
Metro,1.5126761318619446
Metro,1.5615317513305251
Metro,1.487335657192425
Metro,1.3830129909931201
Metro,1.4453101328176152
Metro,1.9967354794303789
Metro,1.7370711213204284
Metro,2.248004785605996
Metro,1.6523181978841759
Metro,1.723295491191103
Metro,1.286909130809127
Metro,1.2067470795858681
Metro,1.6194502971682614
Metro,1.0686603442447733
Metro,1.6634773252050352
Metro,1.7193459394368509
Metro,1.5103851476983823
Metro,1.3790299833448763
Metro,1.7300584778908557
Metro,1.4328820782152656
Metro,1.4703114771556454
Metro,1.4547112320619628
Metro,1.6283534464602984
Metro,1.6132621946052055
Metro,1.6025490037795749
Metro,1.69805750778393
Metro,1.2012284957998165
Voila,1.3049913522881575
Voila,1.3111557339584836
Voila,1.4717914517492803
Voila,1.6785264986192387
Voila,2.0267598639571305
Voila,1.0228837607432784
Voila,1.4421508539186716
Voila,1.7929731793355275
Voila,1.615385859432213
Voila,1.2818695634000499
Voila,1.650667570379083
Voila,1.217867734523823
Voila,1.8843110844169204
Voila,1.2058184854114096
Voila,1.6650897783442185
Voila,1.890868362849308
Voila,0.984109430289204
Voila,2.4643099653983134
Voila,1.617991163018924
Voila,1.7661328145310673
Voila,1.8894038706229874
Voila,1.6350166125163397
Voila,1.7440620604448736
Voila,1.7840596838214609
Voila,1.7236026367222541
Voila,1.2187109889982382
Voila,1.5212264027504858
Voila,0.9050599580525759
Voila,1.3727554965245377
Voila,1.5660527525542731
Voila,1.5788317431785113
Voila,1.5661175612275327
Voila,1.6611029753998023
Voila,1.7338826832933105
Voila,1.3877647784567257
Voila,1.9620864601369807
Voila,1.2413680804166942
Voila,1.3217159148682074
Voila,2.0618319825786267
Voila,1.9393268386327676
Voila,1.4962648582818816
Voila,1.6922580227963016
Voila,1.8523433654812038
Voila,1.5046023062164275
Voila,1.1285017789567766
Voila,1.3113621155821198
Voila,1.2937311087317793
Voila,1.2736195224843025
Voila,1.4620387947701885
Voila,1.459521143258693
Voila,1.9579628510296283
Voila,1.7050906023029127
Voila,1.958141062531213
Voila,1.5557483956687315
Voila,1.4547407603350944
Voila,1.5499329963932584
Voila,1.6057675146341386
Voila,1.3509789962802825
Voila,1.8196138921072242
Voila,1.186089265253575
Voila,1.6057358074361379
Voila,1.3943013236566537
Voila,1.7694398910223228
Voila,1.2391895348958986
Voila,1.856475363827958
Voila,2.045721964074306
Voila,1.968096196006508
Voila,1.3302045251212644
Voila,1.748951263733862
Voila,1.544493398176984
Voila,1.811258360133779
Voila,1.9407768021102938
Voila,1.2103844493317437
Voila,2.0281451130434087
Voila,1.749570139546197
Voila,1.8856975731528045
Voila,1.7945012764548407
Voila,1.5147733406250974
Voila,1.4661075256371532
Voila,1.4606099076288759
Voila,1.3544718266877758
Voila,2.044720972817834
